covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,-0.015590130573272949,0.9845307664303018,0.010734730700144036,-0.0366298161292917,0.005449554982745802,0.9640329387483033,1.0054644308174512,0.0,-1.4523075621323005,0.14641610574533856,2.771853836341072
karno,-0.03140006461257468,0.9690877977792416,0.0064508848163061915,-0.044043566520951094,-0.01875656270419826,0.9569122672265653,0.981418246968993,0.0,-4.867559335922929,1.129849144760244e-06,19.75543840963499
diagtime,0.012922255861318621,1.0130061090109248,0.01705056621810235,-0.0204962398421773,0.04634075156481454,0.9797123803407628,1.047431263996611,0.0,0.7578784009881878,0.44852378168610463,1.15674361295129
trt_2,0.3250174003071624,1.3840547287486369,0.2446703316602031,-0.15452763783230578,0.8045624384466306,0.8568198111725955,2.235718020513403,0.0,1.328389094426638,0.18404960030629874,2.4418334782093805
celltype_2,1.122082244157154,3.0712426268709603,0.33049175692644545,0.4743303033939551,1.7698341849203532,1.6069376763467655,5.869879966068929,0.0,3.3951898062222647,0.0006858103792030304,10.509902641051012
celltype_3,1.3666283769523446,3.9221045194695345,0.3445885866769748,0.6912471575819154,2.042009596322774,1.9962035618459266,7.70607975842829,0.0,3.9659711023263036,7.309771902405776e-05,13.739814086097988
celltype_4,0.5145357346708119,1.6728616698095833,0.33576745041405287,-0.14355637532157017,1.172627844663194,0.8662719624501858,3.230470669283644,0.0,1.5324169571419455,0.12541957559422467,2.9951655521014118
prior_10,-0.05847652024229415,0.9432003862562133,0.28015888127482147,-0.6075778374899772,0.4906247970053889,0.544668548351812,1.6333364049125203,0.0,-0.20872627694758564,0.8346619258836123,0.2607361327680684
